2nd Edition,,,Read,Left,Chapter Pages,Chapter Read,Chapter Left
Chapter 1: Getting Started with Robot Operating System,0,6,6,0,26,26,0
Technical requirements,6,1,1,0,,,
Introduction to ROS,7,2,2,0,,,
ROS concepts,9,0,0,0,,,
The ROS filesystem,9,0,0,0,,,
The ROS Computation Graph,9,3,3,0,,,
The ROS community level,12,1,1,0,,,
Installing ROS on Ubuntu,13,3,3,0,,,
Introducing catkin,16,0,0,0,,,
Creating a ROS package,16,1,1,0,,,
Hello_world_publisher.py,17,3,3,0,,,
Hello_world_subscriber.py,20,2,2,0,,,
Introducing Gazebo,22,1,1,0,,,
Installing Gazebo,23,0,0,0,,,
Testing Gazebo with the ROS interface,23,2,2,0,,,
Summary,25,0,0,0,,,
Questions,25,1,1,0,,,
Chapter 2: Understanding the Basics of Differential Robots,26,0,0,0,11,11,0
Mathematical modeling of the robot,26,1,1,0,,,
Introduction to the differential drive system and robot kinematics,27,2,2,0,,,
Forward kinematics of a differential robot,29,0,0,0,,,
Explanations of the forward kinematics equation,29,5,5,0,,,
Inverse kinematics,34,1,1,0,,,
Summary,35,1,1,0,,,
Questions,36,0,0,0,,,
Further information,36,1,1,0,,,
Chapter 3: Modeling the Differential Drive Robot,37,1,1,0,34,27,7
Technical requirements,38,0,0,0,,,
Requirements of a service robot,38,0,0,0,,,
Robot drive mechanism,38,1,1,0,,,
Selection of motors and wheels,39,0,0,0,,,
Calculation of RPM of motors,39,1,1,0,,,
Calculation of motor torque,40,1,1,0,,,
The design summary,41,0,0,0,,,
The robot chassis design,41,1,1,0,,,
"Installing LibreCAD, Blender, and MeshLab",42,1,1,0,,,
Installing LibreCAD,43,0,0,0,,,
Installing Blender,43,1,1,0,,,
Installing MeshLab,44,0,0,0,,,
Creating 2D CAD drawing of a robot using LibreCAD,44,3,3,0,,,
The base plate designs,47,1,,1,,,
Base plate pole design,48,1,,1,,,
"Wheel, motor, and motor clamp design",49,2,,2,,,
Caster wheel design,51,1,,1,,,
Middle plate design,52,1,,1,,,
Top plate design,53,1,,1,,,
Working with a 3D model of the robot using Blender,54,1,1,0,,,
Python scripting in Blender,55,0,0,0,,,
Introduction to Blender Python APIs,55,2,2,0,,,
Python script of the robot model,57,5,5,0,,,
Creating a URDF model of the robot,62,2,2,0,,,
Creating a Chefbot description ROS package,64,5,5,0,,,
Summary,69,1,1,0,,,
Questions,70,0,0,0,,,
Further reading,70,1,1,0,,,
Chapter 4: Simulating a Differential Drive Robot Using ROS,71,0,0,0,33,23,10
Technical requirements,71,1,1,0,,,
Getting started with the Gazebo simulator,72,1,1,0,,,
The Gazebo's graphical user interface,73,1,1,0,,,
The Scene,74,0,0,0,,,
The Left Panel,74,1,1,0,,,
Right Panel,75,0,0,0,,,
Gazebo toolbars,75,0,0,0,,,
Upper toolbar,75,1,1,0,,,
Bottom toolbar,76,1,1,0,,,
Working with a TurtleBot 2 simulation,77,4,4,0,,,
Moving the robot,81,1,1,0,,,
Creating a simulation of Chefbot,82,2,2,0,,,
Depth image to laser scan conversion,84,1,1,0,,,
URDF tags and plugins for Gazebo simulation,85,2,2,0,,,
Cliff sensor plugin,87,1,1,0,,,
Contact sensor plugin,88,0,0,0,,,
Gyroscope plugin,88,1,1,0,,,
Differential drive plugin,89,1,1,0,,,
Depth camera plugin,90,1,1,0,,,
Visualizing the robot sensor data,91,3,3,0,,,
Getting started with Simultaneous Localization and Mapping,94,0,,0,,,
Implementing SLAM in the Gazebo environment,94,1,,1,,,
Creating a map using SLAM,95,3,,3,,,
Getting started with Adaptive Monte Carlo Localization,98,1,,1,,,
Implementing AMCL in the Gazebo environment,99,3,,3,,,
Autonomous navigation of Chefbot in the hotel using Gazebo,102,1,,1,,,
Summary,103,0,,0,,,
Questions,103,0,,0,,,
Further reading,103,1,,1,,,
Chapter 5: Designing ChefBot Hardware and Circuits,104,1,1,0,18,18,0
Technical requirements,105,0,0,0,,,
Specifications of the ChefBot's hardware,105,0,0,0,,,
Block diagram of the robot,105,1,1,0,,,
Motor and encoder,106,0,0,0,,,
"Selecting motors, encoders, and wheels for the robot",106,2,2,0,,,
Motor driver,108,1,1,0,,,
Selecting a motor driver/controller,109,1,1,0,,,
Input pins,110,0,0,0,,,
Output pins,110,0,0,0,,,
Power supply pins,110,1,1,0,,,
Embedded controller board,111,2,2,0,,,
Ultrasonic sensors,113,0,0,0,,,
Selecting an ultrasonic sensor,113,1,1,0,,,
Inertial measurement unit,114,1,1,0,,,
Kinect/Orbbec Astra,115,1,1,0,,,
Central processing unit,116,1,1,0,,,
Speakers/mic,117,0,0,0,,,
Power supply/battery,117,2,2,0,,,
How ChefBot’s hardware works’?,119,2,2,0,,,
Summary,121,0,0,0,,,
Questions,121,0,0,0,,,
Further reading,121,1,1,0,,,
